14022,1769549306,1769549444,""
14023,1769557475,1769724040,""
14024,1769726494,1769726541,""
14025,1769728268,1770051072,"CRASH"
14026,1770052668,1770220882,""
14027,1770221627,1770224990,""
14028,1770225728,1770242144,""
14029,1770242977,1770253708,""
14030,1770254564,1770294691,""
14031,1770297885,1770306132,""
14032,1770306978,1770307206,""
14033,1770308675,1770308908,""
14034,1770309741,1770309796,""
14035,1770311023,1770311245,""
14036,1770311956,1770341436,""
14037,1770342175,1770390945,""
14038,1770391850,1770395485,""
14039,1770396229,1770655632,""
14040,1770656424,1770677386,""
14041,1770678107,1770789599,"RUNNING"
